ID, DateTimeUTC, TapType, StopId, CompanyId, BusID, PAN
1, 22-01-2023 13:00:00, ON, Stop1, Company1, Bus37, 5500005555555559
2, 24-01-2023 16:35:00, ON, Stop2, Company1, Bus37, 5500005555555559
3, 24-01-2023 10:00:00, ON, Stop2, Company1, Bus36, 4111111111111111
4, 22-01-2023 13:05:00, OFF, Stop2, Company1, Bus37, 5500005555555559
5, 24-01-2023 16:45:00, OFF, Stop2, Company1, Bus37, 5500005555555559
6, 24-01-2023 16:48:00, ON, Stop2, Company1, Bus37, 5500005555555559
7, 23-01-2023 08:00:00, ON, Stop1, Company1, Bus37, 4111111111111111
8, 25-01-2023 13:30:00, OFF, Stop3, Company1, Bus36, 5500005555555559
9, 25-01-2023 13:35:00, ON, Stop3, Company1, Bus36, 5500005555555559
10, 22-01-2023 09:20:00, ON, Stop3, Company1, Bus36, 4111111111111111
11, 25-01-2023 13:39:00, OFF, Stop2, Company1, Bus36, 5500005555555559
12, 23-01-2023 08:02:00, OFF, Stop1, Company1, Bus37, 4111111111111111
13, 24-01-2023 16:30:00, OFF, Stop2, Company1, Bus37, 5500005555555559
14, 24-01-2023 16:38:00, ON, Stop2, Company1, Bus37, 5500005555555559
15, 24-01-2023 09:20:00, OFF, Stop2, Company1, Bus37, 4111111111111111
16, 24-01-2023 16:49:00, OFF, Stop3, Company1, Bus37, 5500005555555559
17, 25-01-2023 11:04:00, OFF, Stop1, Company1, Bus36, 5500005555555559
18, 24-01-2023 10:08:00, OFF, Stop3, Company1, Bus36, 4111111111111111
19, 25-01-2023 16:25:00, ON, Stop2, Company1, Bus36, 5500005555555559
20, 24-01-2023 16:48:00, OFF, Stop1, Company1, Bus36, 5500005555555559
